"hgb_fs_item_de","hgb_fs_item_en","account_usage_type","account_number","account_name_de","account_name_en","account_class","account_group_de","account_group_en","account_flags","is_range","range_start","range_end","is_postable"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0059 00","Grundstücksanteil häusliches Arbeitszimmer","Share of land in a home office",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0060 00","Grundstücksgleiche Rechte ohne Bauten","Equal rights excluding buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0065 00","Unbebaute Grundstücke","Vacant land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0070 00","Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)","Equal rights (inheritance law, permanent right of residence, undeveloped land)",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0075 00","Grundstücke mit Substanzverzehr","Real estate with substance consumption",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0079 00","Anzahlungen auf Grund und Boden","Down payments on land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0080 00","Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten","Buildings on own land and rights equivalent to real estate",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0085 00","Grundstückswerte eigener bebauter Grundstücke","Property values of own developed land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0090 00","Geschäftsbauten","commercial buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0090 10","Zweckbetriebsbauten auf eigenen Grundstücken","Special purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0091 00","Geschäftsbauten","commercial buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0100 00","Fabrikbauten","factory buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0100 10","Zweckbetriebsbauten auf eigenen Grundstücken","Special purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0101 00","Fabrikbauten","factory buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0110 00","Garagen","garages",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0110 10","Garagen Zweckbetriebsbauten auf eigenen Grundstücken","Garages purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0111 00","Außenanlagen für Geschäfts-, Fabrik- und andere Bauten","outdoor facilities for commercial, factory and other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0111 10","Außenanlagen Zweckbetriebsbauten auf eigenen Grundstücken","Outdoor facilities Special purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0112 00","Hof- und Wegebefestigungen","Yard and road fortifications",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0112 10","Hof- und Wegebefestigungen Zweckbetriebsbauten auf eigenen Grundstücken","Yard and road fortifications Special purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0113 00","Einrichtungen für Geschäfts-, Fabrik- und andere Bauten","Facilities for commercial, factory and other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0113 10","Einrichtung Zweckbetriebsbauten auf eigenen Grundstücken","Setting up special-purpose buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0114 00","Einrichtungen für Geschäfts-, Fabrik- und andere Bauten","Facilities for commercial, factory and other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0115 00","Andere Bauten","Other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0120 00","Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken","Commercial, factory and other buildings under construction on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0120 10","Zweckbetriebsbauten im Bau auf eigenen Grundstücken","Special purpose buildings under construction on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0121 00","Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken","Commercial, factory and other buildings under construction on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0129 00","Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken","Down payments on commercial, factory and other buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0140 00","Wohnbauten","residential buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0145 00","Garagen","garages",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0146 00","Außenanlagen","outdoor facilities",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0147 00","Hof- und Wegebefestigungen","Yard and road fortifications",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0148 00","Einrichtungen für Wohnbauten","Facilities for residential buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0149 00","Gebäudeanteil häusliches Arbeitszimmer","Part of the building is a home office",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0150 00","Wohnbauten im Bau auf eigenen Grundstücken","Residential buildings under construction on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0159 00","Anzahlungen auf Wohnbauten auf eigenen Grundstücken","Down payments on residential buildings on own land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0160 00","Bauten auf fremden Grundstücken","Buildings on foreign properties",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0165 00","Geschäftsbauten","commercial buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0165 10","Zweckbetriebsbauten auf fremden Grundstücken","Special purpose buildings on foreign properties",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0166 00","Geschäftsbauten","commercial buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0170 00","Fabrikbauten","factory buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0170 10","Zweckbetriebsbauten auf fremden Grundstücken","Special purpose buildings on foreign properties",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0171 00","Fabrikbauten","factory buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0175 00","Garagen","garages",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0176 00","Außenanlagen","outdoor facilities",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0177 00","Hof- und Wegebefestigungen","Yard and road fortifications",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0178 00","Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten","Facilities for commercial, factory, residential and other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0178 10","Einrichtung Zweckbetriebsbauten auf fremden Grundstücken","Establishment of special purpose buildings on foreign properties",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0179 00","Andere Bauten","Other buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0180 00","Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken","Commercial, factory and other buildings under construction on foreign land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0180 10","Zweckbetriebs- und andere Bauten im Bau auf fremden Grundstücken","Special purpose buildings and other buildings under construction on foreign land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0181 00","Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken","Commercial, factory and other buildings under construction on foreign land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0189 00","Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken","Down payments on commercial, factory and other buildings on other people's land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0190 00","Wohnbauten","residential buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0191 00","Garagen","garages",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0192 00","Außenanlagen","outdoor facilities",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0193 00","Hof- und Wegebefestigungen","Yard and road fortifications",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0194 00","Einrichtungen für Wohnbauten","Facilities for residential buildings",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0195 00","Wohnbauten im Bau auf fremden Grundstücken","Residential buildings under construction on foreign land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0199 00","Anzahlungen auf Wohnbauten auf fremden Grundstücken","Down payments on residential buildings on other people's land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0200 00","Technische Anlagen und Maschinen","Technical equipment and machines",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0210 00","Maschinen","machines",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0220 00","Maschinengebundene Werkzeuge","Machine-based tools",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0240 00","Technische Anlagen","Technical systems",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0240 10","Photovoltaikanlage","photovoltaic system",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0241 00","Technische Anlagen","Technical systems",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0260 00","Transportanlagen und Ähnliches","Transport systems and the like",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Technische Anlagen und Maschinen","Technical equipment and machines",,"0280 00","Betriebsvorrichtungen","operating devices",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0290 00","Technische Anlagen und Maschinen im Bau","Technical equipment and machinery in construction",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"geleistete Anzahlungen und Anlagen im Bau","Down payments made and investments under construction",,"0299 00","Anzahlungen auf technische Anlagen und Maschinen","Down payments on technical equipment and machinery",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0300 00","Andere Anlagen, Betriebs- und Geschäftsausstattung","Other plants, operating and office equipment",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0300 10","Schul-, Kindergarten- und ähnliche Ausstattung","School, kindergarten and similar equipment",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0301 00","Andere Anlagen, Betriebs- und Geschäftsausstattung","Other plants, operating and office equipment",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0310 00","Andere Anlagen","Other investments",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0320 00","Pkw","Pkw",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0350 00","Lkw","truck",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0380 00","Sonstige Transportmittel","Other means of transportation",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0400 00","Betriebsausstattung","factory equipment",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0410 00","Geschäftsausstattung","office equipment",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Andere Anlagen, Betriebs- und Geschäftsausstat- tung","Other plants, operating and commercial equipment",,"0420 00","Büroeinrichtung","office furnishing",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
